"site_name","plot","Longitude","Latitude","date"
"TXBAR","0005",-98.0961799020674,30.642734866473,"2026-04-16T14:01:38.000000Z"
"UTDSP","0005",-109.05991,40.50486,"2026-04-16T14:02:27.000000Z"
"CALNU","0005",-122.412155707215,38.5718693351249,"2026-07-01T11:17:05.000000Z"
"GAPDR","0005",-83.6634897599999,33.0038464200001,"2026-07-01T07:49:05.000000Z"
"SCPKR","0005",-80.7636043331888,32.2442336664491,"2026-07-01T11:30:05.000000Z"
"SCCRR","0005",-80.2676999995756,34.6171999998021,"2026-07-01T11:17:06.000000Z"
"ALKCR","0005",-87.7942248761215,34.7636331734276,"2026-07-01T03:18:06.000000Z"
"GAUGA","0005",-83.37454584153,33.9419826392998,"2026-07-01T03:20:07.000000Z"
"LABCR","0005",-89.7898382149621,30.6651250191235,"2026-07-01T11:08:06.000000Z"
"CAAEU","0005",-120.10317720697,38.9955906131278,"2026-07-01T05:41:05.000000Z"
"NVWAX","0005",-119.949647070137,39.279496893641,"2026-07-01T11:17:06.000000Z"
"AZA3S","0005",-110.285970445839,31.4554123813949,"2026-07-01T05:21:06.000000Z"
"CATCU","0005",-120.217902160949,38.2568162835138,"2026-07-01T11:16:06.000000Z"
"WAOWF","0005",-120.7763256,47.35114846,"2026-04-16T14:01:46.000000Z"
"ALMLR","0005",-85.7481980529934,33.6730833624214,"2026-06-30T15:01:05.000000Z"
"WASES","0005",-120.8232748,47.333617,"2026-04-16T14:01:43.000000Z"
"CAYNP","0005",-119.788841024826,37.7191966082763,"2026-07-01T03:21:06.000000Z"
"MDBWR","0005",-76.2598454233403,38.4614362922233,"2026-07-01T05:21:06.000000Z"
"AZCOP","0005",-110.24203377,31.34298784,"2026-07-09T01:12:04.000000Z"
"CASBC","0005",-120.053276074184,34.6933356024586,"2026-07-01T11:15:06.000000Z"
"CORMP","0005",-105.578306,40.365347,"2026-07-01T03:30:05.000000Z"
"AZA3S","0006",-110.290252392323,31.4591698668474,"2026-07-01T05:21:06.000000Z"
"CALNU","0006",-122.414233832708,38.5732405519652,"2026-07-01T11:17:05.000000Z"
"CAYNP","0006",-119.788687425489,37.7193354036959,"2026-07-01T03:21:06.000000Z"
"SCCRR","0006",-80.2755000002207,34.6185999996533,"2026-07-01T11:17:06.000000Z"
"SCPKR","0006",-80.7708503329167,32.2452129996586,"2026-07-01T11:30:05.000000Z"
"GAHSR","0006",-81.2685516663058,31.6407583334492,"2026-07-01T05:20:06.000000Z"
"FLLSR","0006",-83.0565999998149,29.3194000003545,"2026-06-30T15:39:05.000000Z"
"WASES","0006",-120.8386885,47.33138499,"2026-04-16T14:01:44.000000Z"
"AZSAP","0006",-110.54350466759,32.0326345104307,"2026-07-10T05:35:05.000000Z"
"CASBC","0006",-120.053786585669,34.6930955729603,"2026-07-01T11:15:06.000000Z"
"CODSP","0006",-109.036857422856,40.4683455902451,"2026-07-01T11:13:05.000000Z"
"ALBOR","0006",-87.7514999995873,30.2637999996402,"2026-07-01T02:32:05.000000Z"
"AKWSP","0006",-143.601164953999,61.379708362168,"2026-07-01T03:25:06.000000Z"
